Reference, Value, Footprint, Datasheet
U1,CC2541,,
C8,1uF,,
C9,1nF,,
R3,2k7,,
R6,56k,,
C11,12pF,,
C10,12pF,,
C1,1uF,,
C2,100nF,,
C3,100nF,,
C4,100nF,,
C5,100nF,,
C6,100nF,,
C7,220pF,,
R4,2k2,,
R5,2k2,,
X1,32Mhz,,
FL1,2450BM15A0002,,
A1,2450AT42A100,,
C12,DNM,,
C13,DNM,,
R7,0,,
R1,1K,,
D1,BI_LED,,
R2,1K,,
P1,programming,,
U2,MPU-9250,,
C16,10nF,,
C15,100nF,,
C14,100nF,,
C20,1uF,,
BT1,BATTERY,,
C22,10nF,,
C26,4.7uF,,
U3,TPS37001,,
R14,0,,
R16,39k,,
R17,30k,,
C24,22pF,,
C21,4.7uF,,
C23,10nF,,
C27,4.7uF,,
U4,TPS37001,,
R15,0,,
R18,39k,,
R19,30k,,
C25,22pF,,
R11,10,,
C17,4.7uF,,
C18,100nF,,
SW1,SW_PUSH,,
R10,100k,,
D2,ZENER,,
R8,2k2,,
C19,10nF,,
R9,20k,,
R13,62k,,
R12,36k,,
D3,BAT54C,,
P2,CONN_2,,
R21,100k,,
R20,100,,
P3,CONN_2,,
R23,100k,,
R22,100,,
D5,BAT54C,,
Q1,SiA910EDJ,,
U5,DRV8837,,
C28,100nF,,
C29,100nF,,
P4,CONN_2,,
